id,type,titre,titre_original,annee,note,genre,pays,realisateur,duree,nb_saisons,nb_episodes,statut,description
93,FILM,The Shadow of Violence,The Shadow of Violence,2020,9.3,DRAME,United Kingdom,Nick Rowland,101,,,,"As he reconciles with his ex and their son, an enforcer for a crime family gets an order that tests his loyalty and endangers everyone he holds dear."
94,FILM,GoodFellas,GoodFellas,1990,8.3,DRAME,United States,Martin Scorsese,145,,,,Former mobster Henry Hill recounts his colorful yet violent rise and fall in a New York crime family – a high-rolling dream turned paranoid nightmare.
95,FILM,A Shaun the Sheep Movie: Farmageddon,A Shaun the Sheep Movie: Farmageddon,2019,6.2,COMEDIE,United Kingdom,Richard Phelan,87,,,,Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.
96,FILM,You Don't Mess with the Zohan,You Don't Mess with the Zohan,2008,8.6,COMEDIE,United States,Dennis Dugan,113,,,,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.
97,SERIE,Comedy Premium League,Comedy Premium League,2021,7.0,COMEDIE,Inconnu,Non specifie,,1,16,EN_COURS,"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs."
98,FILM,Band Aid,Band Aid,2017,8.6,COMEDIE,United States,Zoe Lister-Jones,94,,,,"A young married couple tries to save their disintegrating relationship by turning their fights into songs, with the help of an oddball neighbor."
99,SERIE,Who Killed Malcolm X?,Who Killed Malcolm X?,2020,3.6,DRAME,United States,Non specifie,,1,20,EN_COURS,"Decades after the assassination of African American leader Malcolm X, an activist embarks on a complex mission seeking truth in the name of justice."
100,FILM,Nothing to Lose 2,Noting to Lose 2,2019,8.1,DRAME,Brazil,Alexandre Avancini,97,,,,"As controversy surrounds the evangelical church he helped found, Edir Macedo must juggle betrayals, politics and personal loss in this biopic sequel."
101,SERIE,The Victims' Game,Se Wictims' Game,2020,6.9,DRAME,Taiwan,David Chuang,,1,18,TERMINEE,"After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case."
102,FILM,Palm Trees in the Snow,Palm Trees in tje Snow,2015,3.2,ROMANCE,Spain,Fernando González Molina,163,,,,"Finding a tantalizing clue in an old letter, a young woman journeys to her family's tropical plantation to uncover generations of secrets."
103,FILM,Poshter Girl,Poshtar Girl,2016,8.8,COMEDIE,India,Sameer Patil,138,,,,"In a town infamous for female infanticide, a young woman’s arrival has local bachelors vying for her hand in marriage — but she has a bigger agenda."
104,FILM,Peter and the Farm,Peter and the Farm,2016,4.2,DOCUMENTAIRE,United States,Tony Stone,92,,,,"His hilltop farm in Vermont may be bucolic, but making ends meet is a backbreaking challenge for grizzled, hard-drinking organic farmer Peter Dunning."
105,FILM,Dismissed,Dismissed,2017,4.4,THRILLER,United States,Benjamin Arfmann,87,,,,An intelligent but intense honor student traumatizes his high school teacher and mentor when he doesn't get the grade he believes he deserves.
106,SERIE,The Politician,The Politician,2020,8.4,COMEDIE,United States,Non specifie,,2,32,TERMINEE,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.
107,FILM,On My Skin,On My Skin,2018,9.0,DRAME,Italy,Alessio Cremonini,100,,,,"Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events."
108,FILM,Manmadhudu 2,Manmadhudu 2,2019,7.8,COMEDIE,India,Rahul Ravindran,152,,,,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop."
109,SERIE,Women Of The Night,Women Of De Night,2019,4.9,DRAME,Netherlands,Non specifie,,1,6,ANNULEE,"Haunted by a shadowy past, the wife of a rising star in Amsterdam's mayoral office finds herself drawn into the city’s underworld of sex and drugs."
110,FILM,How to Be Really Bad,Hov to Be Really Bad,2018,9.4,COMEDIE,Germany,Marco Petry,100,,,,"The devil's sassy (and bored) daughter makes a deal with her dad: If she can turn a good person evil, she gets to ditch hell and stay on Earth."
111,FILM,Lila & Eve,Lila & Eve,2015,3.6,THRILLER,United States,Charles Stone III,94,,,,"After each of them loses a child to murder, two women who meet in a support group initiate their own investigation when the police are no help."
112,FILM,Dragonheart: Battle for the Heartfire,Dragonheart: Battle for the Heartfire,2017,7.9,SF,United States,Patrik Syversen,98,,,,"When the king of Brittania dies, the dragon who shares his heart must find a new ruler, but the monarch's grandchildren go to war over the throne."
113,FILM,Khosla Ka Ghosla,Khosla Ka Ghosla,2006,6.3,COMEDIE,India,Dibakar Banerjee,124,,,,A cranky control freak must rely on his comically dysfunctional family to pull off a scam on a greedy land shark who's stolen his prized property.
114,FILM,Who the F**k Is That Guy?,Who the F**k Is That Guy?,2017,8.2,DOCUMENTAIRE,United States,Drew Stone,78,,,,"Take a ride through the life of record exec Michael Alago, a gay Puerto Rican New Yorker who signed a slew of musical acts, including Metallica."
115,FILM,School Life,School Life,2019,7.7,COMEDIE,France,Grand Corps Malade,112,,,,"In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own."
116,SERIE,Cheer Squad,Cheer Squad,2016,7.4,DRAME,United States,Non specifie,,1,21,TERMINEE,"Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships."
117,FILM,Ordinary World,Ordinary World,2016,8.4,COMEDIE,United States,Lee Kirk,87,,,,A suburban dad having a midlife crisis throws a lavish 40th birthday party to celebrate his punk-rock past but discovers it's not easy going back.
118,FILM,The Heat: A Kitchen (R)evolution,The Heat: A Kitchen (R)evolution,2018,3.6,DOCUMENTAIRE,Canada,Maya Gallus,71,,,,Seven female chefs describe what it’s like breaking into the restaurant industry's notorious boys' club.
119,SERIE,Filinta,Filinta,2015,4.5,ACTION,Turkey,Non specifie,,2,26,TERMINEE,"In 19th-century Istanbul, a young police officer investigates crimes and falls in love with the daughter of a wealthy merchant conspiring against him."
120,FILM,Project Papa,Project Papa,2018,7.5,DRAME,India,Kanika Batra,92,,,,"When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment."
121,FILM,Dil Vil Pyaar Vyaar,Dil Vil Pyaar Vyaar,2014,5.5,ROMANCE,India,Manjeet Maan,145,,,,"Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first."
122,FILM,No Escape,No Escape,2015,6.8,ACTION,United States,John Erick Dowdle,103,,,,"Soon after relocating to Southeast Asia, an American family lands in the midst of a violent coup that could cost them their lives."
123,SERIE,Broadchurch,Broadchurch,2017,5.3,DRAME,United Kingdom,Non specifie,,3,69,TERMINEE,"After a young boy is murdered in the small seaside town of Broadchurch, local detectives Ellie Miller and Alec Hardy are assigned the mysterious case."
124,FILM,Catching Feelings,Catching Feelings,2018,5.4,ROMANCE,South Africa,Kagiso Lediga,117,,,,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author."
125,FILM,Shattered Memories,Shattered Memories,2018,6.1,THRILLER,United States,Chris Sivertson,86,,,,"When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer."
126,FILM,Waar,Waar,2013,5.1,ACTION,Pakistan,Bilal Lashari,130,,,,"When Pakistani authorities learn of a looming terrorist strike, they ask a retired intelligence officer to counter the attack before it's too late."
